"TIME","POSITION","RHO_S1","RHO_S1_DIFF","RHO_S2","RHO_S2_DIFF"
5.25,0.21,7.49159438433098,-0.256455360714849,7.964524201704,0.452865824642992
5.75,0,7.49307658948759,-0.239473929453398,7.96387706487397,0.415079397665334
6.25,0.21,7.49447034624794,-0.208307039810457,7.96328264784107,0.392339299359926
6.75,0,7.49568341868055,-0.184786516218567,7.96278806731956,0.373744891010548
7.25,0.21,7.49673124398722,-0.161841418160018,7.96240981064017,0.36483248401564
7.75,0,7.49761104406917,-0.144917768285695,7.96214174616322,0.365087447695798
8.25,0.21,7.49836677365696,-0.131988866636894,7.96204546511571,0.36728152792788
8.75,0,7.4990608844954,-0.125042859506077,7.96215611062046,0.367219887884483
9.25,0.21,7.49975131371137,-0.123132369412463,7.96243215840742,0.371487432396295
9.75,0,7.50049576497708,-0.122255186169912,7.96286339012979,0.374198204744867
10.25,0.21,7.50132695443433,-0.12104394398516,7.96340743818951,0.380991258437901
10.75,0,7.50225144159734,-0.121885781263029,7.96398613478029,0.384217072543018
11.25,0.21,7.50328998679379,-0.124422430469942,7.96452990196506,0.386141063683594
11.75,0,7.50444129607905,-0.124839779443265,7.96496189126272,0.387742068016792
12.25,0.21,7.50566602874293,-0.126564628361136,7.96521005210112,0.38396612123028
12.75,0,7.50690366597742,-0.130382882817031,7.96519565080657,0.373394931705433
13.25,0.21,7.50808494558494,-0.1333887562693,7.96488464123332,0.358573474221657
13.75,0,7.50915252523068,-0.13926594759629,7.9642807416548,0.336052997771618
14.25,-0.42,7.5100763708444,-0.145998174987435,7.96343571123936,0.307917290448557
14.75,-0.21,7.51082827524132,-0.156342835263864,7.96241751508339,0.273248724015626
15.25,-0.63,7.51139037156218,-0.16841908961834,7.96129690046084,0.233737832598279
15.75,-0.42,7.51177611623497,-0.182417459571719,7.96015603512823,0.190902731162046
16.25,-0.84,7.51202565106867,-0.196675504684727,7.95907456396481,0.14639028143469
16.75,-0.63,7.51216635335217,-0.211738697505986,7.95809844025015,0.102426390952119
17.25,-1.05,7.5122316879924,-0.227922881399352,7.95724240748947,0.0601409364784049
17.75,-0.84,7.51226614848949,-0.244208360764531,7.95650459048468,0.0204340148950414
18.25,-1.26,7.51231116771893,-0.260704697394846,7.95587218452097,-0.0146177404381721
18.75,-1.05,7.51239011579119,-0.277671476703097,7.95531251560555,-0.0456482596964213
19.25,-1.47,7.51253529825023,-0.294948841971516,7.95482044329844,-0.0722116459409721
19.75,-1.26,7.51278149811218,-0.312790740723744,7.95436560364779,-0.095157880584863
20.25,-1.68,7.51314346124067,-0.331571103139038,7.95393385733954,-0.116229967414213
20.75,-1.47,7.51362473228286,-0.349628795376787,7.95352007693924,-0.134595258420245
21.25,-1.89,7.51419749209133,-0.36679196137226,7.95310687254231,-0.151083470097876
21.75,-1.68,7.51483548381101,-0.387207433254029,7.95268865997853,-0.169952095492091
22.25,-2.1,7.51552385946016,-0.403296173627856,7.95226995247671,-0.183860304385661
22.75,-1.89,7.51625717117618,-0.416936076332524,7.95187661336258,-0.195659621595028
23.25,-2.31,7.51703031406586,-0.429410071111612,7.95152410160588,-0.206098314288705
23.75,-2.1,7.51782771995977,-0.437702151257582,7.9512108195479,-0.214001844466813
24.25,-2.52,7.51862851454867,-0.442551915835864,7.95092764375163,-0.218403351050962
24.75,-2.31,7.51943243752473,-0.443935608577134,7.95067921658111,-0.219729803668568
25.25,-2.73,7.52025347597503,-0.443884400560503,7.95048667012027,-0.221412196365467
25.75,-2.52,7.52109161412636,-0.443996543205479,7.95034648871202,-0.223843880912124
26.25,-2.94,7.52195187123517,-0.441881660474256,7.95026374563329,-0.225889067730883
26.75,-2.73,7.52286487116328,-0.439969160179141,7.95027048466996,-0.22975933631217
27.25,-3.15,7.52385852958572,-0.439272975163434,7.95040197131275,-0.236278041126301
27.75,-2.94,7.52495146219354,-0.438406140217238,7.95068524062919,-0.244664711469057
28.25,-3.36,7.52614073585854,-0.438476246828434,7.95112810672735,-0.255689230248378
28.75,-3.15,7.52742454596836,-0.438121595878174,7.95172969395995,-0.268701595377162
29.25,-3.57,7.52879199289853,-0.438776145860686,7.95247786578893,-0.283479426129462
29.75,-3.36,7.53022563519916,-0.438285483509016,7.95335002008884,-0.297862377555341
30.25,-3.78,7.53170990746028,-0.435417548278389,7.95432027537905,-0.310946330006742
30.75,-3.57,7.53323028105285,-0.431910329060704,7.95535716569159,-0.323746724847145
31.25,-3.99,7.53479679761476,-0.427797851585043,7.95645700723792,-0.335562253039403
31.75,-3.78,7.53641201097609,-0.421145995840793,7.95761441983229,-0.345211607126163
32.25,-4.2,7.53805899840462,-0.416096719469587,7.95882280548068,-0.355865888792896
32.75,-3.99,7.53972665117258,-0.412193454114986,7.96008176190887,-0.367253838174854
33.25,-4.41,7.54141889907296,-0.4108017374497,7.96140763659729,-0.380192189891887
33.75,-4.2,7.54314866852293,-0.410601948238904,7.96282689555057,-0.394195044652291
34.25,-4.62,7.54492816343113,-0.413353794047548,7.96435662038408,-0.410515058709364
34.75,-4.41,7.54675940575414,-0.41839521478027,7.96599916513427,-0.429707330563335
35.25,-4.83,7.54864972848226,-0.423278994709032,7.96775569096561,-0.447598164003924
35.75,-4.62,7.55062757877451,-0.425513649368935,7.96964714537006,-0.463249823950399
36.25,-5.04,7.55270485893599,-0.429473797612586,7.97167854366782,-0.479891453312676
36.75,-4.83,7.55486808281877,-0.432822421094782,7.97382694259046,-0.495022149775989
37.25,-5.25,7.55710912147278,-0.434442182432253,7.97607607834775,-0.507200834197705
37.75,-5.04,7.55942469033696,-0.434714259949092,7.9784209357396,-0.51627894054464
38.25,-5.46,7.56181311791443,-0.43550307132681,7.98085932679037,-0.524478637722035
38.75,-5.25,7.56426199892734,-0.435224643734324,7.98338829977311,-0.529611388180152
39.25,-5.67,7.56675311501769,-0.435065469203702,7.98600040895521,-0.534155724791154
39.75,-5.46,7.56927679861225,-0.434855923315695,7.98869309175873,-0.537763748993941
40.25,-5.88,7.57183387328749,-0.435859319312344,7.9914785430077,-0.541687773425321
40.75,-5.67,7.5744246710287,-0.435883352202729,7.99436689757052,-0.543739625667361
41.25,-6.09,7.5770502115018,-0.437667732415735,7.99736443948952,-0.547708341558491
41.75,-5.88,7.57971524459395,-0.439936256350195,8.0004749285341,-0.552026288599656
42.25,-6.3,7.58242949336767,-0.443336778571681,8.00369932456626,-0.557525449413009
42.75,-6.09,7.58521214865093,-0.443988598200982,8.00705430458998,-0.560716616870522
43.25,-6.51,7.58806257762426,-0.445562655261095,8.01053096952244,-0.56520338705339
43.75,-6.3,7.59098601071542,-0.445564006688576,8.01412662995192,-0.568053755987488
44.25,-6.72,7.59400017769172,-0.445446782889559,8.01784915548845,-0.571177602360793
44.75,-6.51,7.59711648600331,-0.441294550617894,8.0216947760336,-0.569761882604934
45.25,-6.93,7.6003283798251,-0.436053771555286,8.02564232587822,-0.566616061304543
45.75,-6.72,7.60361902689121,-0.428645087221539,8.02966240584016,-0.559782295649302
46.25,-7.14,7.60690278767666,-0.419041171967489,8.03363927817748,-0.549477883028095
46.75,-6.93,7.6100854581483,-0.408717311669138,8.03745255279009,-0.537608936865039
47.25,-7.35,7.61310173989033,-0.399282609555732,8.04102463372666,-0.525641713069796
47.75,-7.14,7.61583150135068,-0.392235187659807,8.04421516417051,-0.515848467800036
48.25,-7.56,7.61812681624556,-0.384808640478109,8.04685593907509,-0.50544434293158
48.75,-7.35,7.61984775972906,-0.382937182361199,8.04878638088916,-0.501306689756187
49.25,-7.77,7.6208735698298,-0.38135686170854,8.04986710340396,-0.497457015591456
49.75,-7.56,7.6211174963267,-0.382815222871997,8.04999892143367,-0.497743232221808
50.25,-7.98,7.62055324804164,-0.384543688035937,8.04914968778599,-0.49860396560198
50.75,-7.77,7.6192164745243,-0.385758099503327,8.04736082988624,-0.499859233073244
51.25,-7.35,7.61720144782335,-0.385934050586398,8.04474011237596,-0.49962022590142
51.75,-6.93,7.61464122782031,-0.385683793929117,8.04144544526138,-0.499366071447213
52.25,-7.14,7.61168637881448,-0.383267387204207,8.03765816476854,-0.497071083524694
52.75,-6.72,7.60847968832847,-0.384203361849805,8.03355213619419,-0.497689155408407
53.25,-6.93,7.60516577963202,-0.386104842786627,8.02929936824553,-0.498585148347052
53.75,-6.51,7.60185526593132,-0.390527287186515,8.02503418487729,-0.501722427948306
54.25,-6.72,7.59860638594591,-0.396641485556671,8.02083362677226,-0.505355303195797
54.75,-6.3,7.59544962599615,-0.406353897257133,8.01674552288575,-0.512020191889567
55.25,-6.51,7.59238607207906,-0.415029889454358,8.01278345133384,-0.516983336565554
55.75,-6.09,7.58938834114504,-0.426009711226432,8.00893015080541,-0.52336803885835
56.25,-6.3,7.58644659782901,-0.43405853036973,8.00518488606992,-0.525658271060941
56.75,-5.88,7.5835413534683,-0.440128099961764,8.00152948448389,-0.525492264768767
57.25,-6.09,7.5806293538699,-0.444052439546911,7.99791603213707,-0.522617170760506
57.75,-5.67,7.57768525419076,-0.446383744462871,7.99432322212896,-0.517541908201827
58.25,-5.88,7.57469029792509,-0.444487085726465,7.99073338502043,-0.508337595999256
58.75,-5.46,7.57164170352476,-0.440374730419996,7.98714235298295,-0.496932509398044
59.25,-5.67,7.56854985176308,-0.437274845634196,7.98355488980218,-0.4858454161126
59.75,-5.25,7.56543599208137,-0.430908570303045,7.97998561422834,-0.472351329416161
60.25,-5.46,7.56231406591092,-0.424423396681114,7.97644540847306,-0.459116088630166
60.75,-5.04,7.55921259640314,-0.418117913772433,7.97296206761661,-0.445833922397722
61.25,-5.25,7.55617487692138,-0.41215945540082,7.96956999437947,-0.432859840969264
61.75,-4.83,7.55324663091334,-0.405859411471364,7.96630864604878,-0.419525520389415
62.25,-5.04,7.55046596987222,-0.399736123720237,7.9632137325002,-0.406644755311101
62.75,-4.62,7.54785707718333,-0.393240428693688,7.96031338803753,-0.392988913318365
63.25,-4.83,7.54542964821037,-0.386765797684353,7.95762479452404,-0.379515126059968
63.75,-4.41,7.54318645353807,-0.380677389308328,7.95515992676579,-0.366095550396867
64.25,-4.62,7.54111272894492,-0.37480403262849,7.95291822101855,-0.352977172504494
64.75,-4.2,7.53917131953971,-0.369904623142037,7.95088304940618,-0.33994469197286
65.25,-4.41,7.53731588557181,-0.364775284499802,7.94902587769308,-0.327294547343471
65.75,-3.99,7.53549947946841,-0.360034294453912,7.94731533123816,-0.314294719932339
66.25,-4.2,7.53367083798049,-0.354760762277565,7.94571142463312,-0.301502775066318
66.75,-3.78,7.53178729700813,-0.349915684802937,7.94417498321539,-0.288765674257199
67.25,-3.99,7.52982424356624,-0.343530736653529,7.94268076699349,-0.275342543288185
67.75,-3.57,7.5277778096807,-0.336172113039315,7.9412203790667,-0.261044972816808
68.25,-3.78,7.52565287300162,-0.330099537212408,7.93979205842361,-0.248772899277955
68.75,-3.36,7.52345279939308,-0.322196793831329,7.93839392422851,-0.234530835088449
69.25,-3.57,7.52119503072799,-0.314752501530227,7.93703150832348,-0.221571892517451
69.75,-3.15,7.51890023622721,-0.30978687161198,7.93571785223918,-0.209819568575198
70.25,-3.36,7.51660073992269,-0.304902289314579,7.93447692934334,-0.199710403810692
70.75,-2.94,7.5143428916695,-0.30129392821023,7.93334765857271,-0.189525576754506
71.25,-3.15,7.5121633292007,-0.300466045797565,7.93236291054976,-0.182121036323032
71.75,-2.73,7.51009121501064,-0.300448414589047,7.93155493113218,-0.173859686661563
72.25,-2.94,7.50814142022225,-0.301354469740911,7.93094432097925,-0.166178536485262
72.75,-2.52,7.50630918898952,-0.303066811875637,7.93053845649232,-0.157649374624306
73.25,-2.73,7.50458495206334,-0.304136798541822,7.93034210327566,-0.148694583231697
73.75,-2.31,7.50295990114047,-0.304118710693548,7.93035312994977,-0.137383161535839
74.25,-2.52,7.50142633359007,-0.304112577831471,7.93056472514657,-0.126456410144369
74.75,-2.1,7.49996588691272,-0.302935533880382,7.93095952281571,-0.113422102746408
75.25,-2.31,7.49856201278386,-0.30260343865563,7.93150850923702,-0.100727650734865
75.75,-1.89,7.4972130929895,-0.300425670734346,7.9321945716086,-0.0866152487349096
76.25,-2.1,7.49590433612835,-0.298872341277409,7.93299134165918,-0.0736279187578149
76.75,-1.68,7.49462279898474,-0.297318479406568,7.93387586763315,-0.0598393306514504
77.25,-1.89,7.49336290358667,-0.295078623400229,7.93483101353782,-0.0463578580313969
77.75,-1.47,7.49212883380538,-0.291500964790974,7.93585802333903,-0.0302013622912873
78.25,-1.68,7.49093006510225,-0.286765224192602,7.93696664813777,-0.0140766331604866
78.75,-1.26,7.48977688183501,-0.27922602812434,7.9381826858793,0.0067985864778546
79.25,-1.47,7.48867431778689,-0.26915119084282,7.93952574356223,0.0296712623493412
79.75,-1.05,7.4876392213734,-0.255669092657979,7.94102491973284,0.0564520666588686
80.25,-1.26,7.48668459081781,-0.241306026370416,7.94268767115134,0.0854056158508462
80.75,-0.84,7.4858016077865,-0.228571586490744,7.94448660788513,0.112924247334395
81.25,-1.05,7.48500391454853,-0.215181620111573,7.9464175794708,0.141288276156409
81.75,-0.63,7.48432287363181,-0.202549978479197,7.94845589369256,0.169125544459397
82.25,-0.84,7.48379071447011,-0.194170659767687,7.95054854135916,0.193795140027593
82.75,-0.42,7.48343357735388,-0.186942946219231,7.95261555742582,0.215472563007179
83.25,-0.63,7.48328000091351,-0.18468767700301,7.95456887194199,0.232341679052032
83.75,-0.21,7.48333847432807,-0.187085701871704,7.95631186070974,0.242349226506957
84.25,-0.42,7.48361986678596,-0.191020783977496,7.95777501004029,0.247493552479977
84.75,0,7.48415382517403,-0.196503293601696,7.95892790714459,0.247510217066245
85.25,-0.42,7.48495359535917,-0.205553939137234,7.95977489243291,0.240759442322504
85.75,-0.21,7.48599742016185,-0.218539373026807,7.96032605006156,0.227490207201916
86.25,-0.63,7.48726232977435,-0.231805506334779,7.96062665981405,0.211447163615108
86.75,-0.42,7.48870573076697,-0.248313029472767,7.96072827668652,0.189973126188589
87.25,-0.84,7.49026982191261,-0.264499896730617,7.96068611822961,0.167090056306305
87.75,-0.63,7.49188312156183,-0.283834977629182,7.96053297267582,0.139200250184533
88.25,-1.05,7.4934747064004,-0.30138901432475,7.96029794002155,0.11172333966102
88.75,-0.84,7.49498988735387,-0.319819503991258,7.95999346702949,0.0801392729742092
89.25,-1.26,7.49639426377656,-0.338330419653048,7.95962721547878,0.0490604818964892
89.75,-1.05,7.49765730973534,-0.356711127460212,7.95919435581625,0.0156605337482552
90.25,-1.47,7.49877355743808,-0.373477389128209,7.95869203366699,-0.0157784304092473
90.75,-1.26,7.49976115582833,-0.389758087541497,7.95811852399899,-0.0483376068165438
91.25,-1.68,7.50064720505329,-0.404036046354871,7.95746787462774,-0.0778126544498739
91.75,-1.47,7.50148039437733,-0.417210870363377,7.95675044887066,-0.106692383534947
92.25,-1.89,7.50231615961743,-0.427002716061244,7.9559870833595,-0.130700533698028
92.75,-1.68,7.50321278791939,-0.434723247111687,7.95520027945937,-0.152260791002314
93.25,-2.1,7.50420531612215,-0.439424800122601,7.95440545497813,-0.169301593074853
93.75,-1.89,7.50531923819451,-0.441500994575021,7.95361748461,-0.184291585827188
94.25,-2.31,7.50656535009825,-0.442332451659105,7.95285557732647,-0.196601744544495
94.75,-2.1,7.50792607292609,-0.441731077165208,7.95213309039833,-0.208404771512241
95.25,-2.52,7.50937941980693,-0.436782215623859,7.95146788586288,-0.216932756991473
95.75,-2.31,7.51092267735717,-0.428730314059107,7.95089263851292,-0.224592214912759
96.25,-2.73,7.51255429236784,-0.421559066634857,7.95044507828783,-0.233650067490881
96.75,-2.52,7.51426673106209,-0.411803851967405,7.95014911077462,-0.242482931484597
97.25,-2.94,7.51605109824244,-0.403761802492464,7.95002107919611,-0.252444730858769
97.75,-2.73,7.51789664572574,-0.396844653055449,7.95007546475202,-0.263871515346373
98.25,-3.15,7.51979758197163,-0.391918540632088,7.9503192282772,-0.276565509385652
98.75,-2.94,7.52175238175583,-0.388021691554907,7.95075682897416,-0.290187945532891
99.25,-3.36,7.52375254384732,-0.385585611532992,7.9513820284233,-0.304585101438178
99.75,-3.15,7.52578572943742,-0.386160856792019,7.9521744501155,-0.32059456222602
100.25,-3.57,7.52782802236511,-0.386754317070718,7.95310825214044,-0.336070895029917
100.75,-3.36,7.52985458786758,-0.389226753388581,7.95414864198164,-0.35187805571066
101.25,-3.78,7.53184161356398,-0.393008243371947,7.95525971879789,-0.367689057218112
101.75,-3.57,7.53375916906878,-0.396839777677807,7.95640623178651,-0.382650058063418
102.25,-3.99,7.53558501479037,-0.400724355101523,7.95756040997175,-0.396968219818461
102.75,-3.78,7.53730602028376,-0.40419850047494,7.95870501007225,-0.410353234718378
103.25,-4.2,7.53893430745281,-0.40765434103974,7.95984362138953,-0.423682445549554
103.75,-3.99,7.5404912849067,-0.409980228081014,7.96099000691801,-0.435724655044623
104.25,-4.41,7.54200795588903,-0.412130820453249,7.96216711234993,-0.447895784011354
104.75,-4.2,7.54354056976958,-0.4118918747253,7.96341789328635,-0.457925675259926
105.25,-4.62,7.54513739322909,-0.412384805691103,7.96478057380754,-0.467896278294308
105.75,-4.41,7.54685907759191,-0.407334872025046,7.96630456287671,-0.473108810691832
106.25,-4.83,7.5487400862894,-0.400775811636796,7.9680197392657,-0.476689074190137
106.75,-4.62,7.55079837260412,-0.391314126954354,7.96994687546988,-0.476715701335544
107.25,-5.04,7.55306545185027,-0.379736146454502,7.97211399697669,-0.475251436881957
107.75,-4.83,7.5555416397293,-0.36306838131284,7.97452290106127,-0.468971973602232
108.25,-5.25,7.55820127363049,-0.344992541051914,7.97715616334384,-0.461281075961093
108.75,-5.04,7.56101467370278,-0.32429824719686,7.9799954244959,-0.450416739404091
109.25,-5.46,7.56395586735347,-0.30587241733594,7.98302372457056,-0.441332023356576
109.75,-5.25,7.56699285625798,-0.288789399391363,7.98621817664363,-0.431763134532518
110.25,-5.67,7.57008964349126,-0.277872154947577,7.98954605152783,-0.426315480636072
110.75,-5.46,7.57321896716161,-0.270450610576017,7.99297943189336,-0.422898723341649
111.25,-5.88,7.57635935250134,-0.270014745257406,7.99649264657795,-0.424149003854406
111.75,-5.67,7.57949321778516,-0.273355229978236,8.00006025397078,-0.427484707466489
112.25,-6.09,7.58261603433803,-0.280686073846254,8.00366529451575,-0.433943548575875
112.75,-5.88,7.58572172436086,-0.288926833810315,8.0072881907988,-0.440568432376025
113.25,-6.3,7.58879779249001,-0.297330469345316,8.01089963102122,-0.447456414280337
113.75,-6.09,7.59184808594189,-0.30354882718689,8.01448757935475,-0.452718270121669
114.25,-6.51,7.59488601119813,-0.311022160440993,8.01805334993604,-0.459451951409676
114.75,-6.3,7.59791868694422,-0.315533855247876,8.02159745195026,-0.463740406943745
115.25,-6.72,7.60095681689205,-0.319937914156059,8.02512830459693,-0.468272985725833
115.75,-6.51,7.60400477184828,-0.324164121053208,8.0286545000896,-0.472003316984978
116.25,-6.93,7.60708784894934,-0.326937009026184,8.03219836423622,-0.474342764710918
116.75,-6.72,7.61023427341171,-0.32701433106072,8.03579026164974,-0.473857074011513
117.25,-7.14,7.61338563612011,-0.326691085734555,8.03936132204592,-0.472524832167866
117.75,-6.93,7.61647877533186,-0.327451617848553,8.04283310861775,-0.471945120739665
118.25,-7.35,7.61947479465372,-0.327037971261605,8.04616143696971,-0.469953097429039
118.75,-7.14,7.62227198859212,-0.328702670838395,8.0492267254564,-0.469820628078451
119.25,-7.56,7.62473420877701,-0.327175172492113,8.05187258539348,-0.466465145777778
119.75,-7.35,7.62672643776991,-0.328894706160924,8.05394124043267,-0.466459673342526
120.25,-7.77,7.62812469184461,-0.33000826178438,8.05528665213596,-0.465504935072339
120.75,-7.56,7.62881981117873,-0.333094828053567,8.05578667842413,-0.466858251034167
121.25,-7.98,7.62875023596933,-0.334629695993245,8.05537241769342,-0.466891931191537
121.75,-7.77,7.62791481682865,-0.337511874847549,8.05404515680621,-0.468934308011666
122.25,-7.35,7.6263655825038,-0.338802617066888,8.05187220603977,-0.469453017362285
122.75,-6.93,7.62419723851372,-0.34211760630809,8.04897185432926,-0.472073214709167
123.25,-7.14,7.62155067746234,-0.346685751099014,8.04550856213745,-0.47509668923414
123.75,-6.72,7.61857470304162,-0.352036932160881,8.04165381155203,-0.47868014237332
124.25,-6.93,7.61539526480107,-0.357057663756257,8.03755169636648,-0.480931580405695
124.75,-6.51,7.61213416615478,-0.364765547297677,8.03333836545949,-0.485478340679827
125.25,-6.72,7.60888672265526,-0.372440160431477,8.02912059613925,-0.489566059814533
125.75,-6.3,7.60570632021079,-0.382356366167191,8.02496069052754,-0.495677575560956
126.25,-6.51,7.60262061113893,-0.389769549495556,8.02089370632528,-0.498962831773419
126.75,-6.09,7.59963355308137,-0.398911693923612,8.01693095664422,-0.504023137786532
127.25,-6.3,7.5967595985924,-0.404530258825817,8.01309754580444,-0.50541694596739
127.75,-5.88,7.59397924275753,-0.408562522261981,8.0093840202736,-0.505248554505924
128.25,-6.09,7.59124742819433,-0.412690096326327,8.0057464626793,-0.504842900784633
128.75,-5.67,7.58854048599022,-0.414383935824491,8.00216849741772,-0.502280021571023
129.25,-5.88,7.58582370063569,-0.416216381342166,7.99862499234623,-0.499626754093922
129.75,-5.46,7.58308480880596,-0.416650520634109,7.99511118927528,-0.495231030204992
130.25,-5.67,7.58032916780075,-0.418910408217759,7.99163236435226,-0.49154708356658
130.75,-5.25,7.57758040930304,-0.420248231244787,7.98821280406754,-0.486517121023205
131.25,-5.46,7.57487656100742,-0.421973494720609,7.98488974616464,-0.481502356747874
131.75,-5.04,7.57225311904137,-0.422409449476115,7.98169877941952,-0.474319052883262
132.25,-5.25,7.56973416256815,-0.418468822810452,7.97866264222511,-0.463187794706858
132.75,-4.83,7.56734849973412,-0.41193046553851,7.97580869590988,-0.449179677190225
133.25,-5.04,7.56510169693202,-0.402673872658275,7.97314150447947,-0.432239999017766
133.75,-4.62,7.56297692648671,-0.391505166369484,7.97064955808461,-0.413126254395772
134.25,-4.83,7.56094879529363,-0.378573523109343,7.96831421774521,-0.392575154971184
134.75,-4.41,7.5589776397599,-0.364934517363181,7.96610275475502,-0.370859073578069
135.25,-4.62,7.5570308094407,-0.3516677459491,7.96398531051426,-0.349167604676879
135.75,-4.2,7.55508826555301,-0.339058903200152,7.96194909474984,-0.327694299837689
136.25,-4.41,7.55313650423778,-0.328638128450899,7.95998570300537,-0.30875563473927
136.75,-3.99,7.55116871715044,-0.320435597304674,7.95809354200475,-0.290722491288755
137.25,-4.2,7.54918696723992,-0.314408747079317,7.95627545572336,-0.27489962681087
137.75,-3.78,7.54720597035414,-0.310603332139732,7.95454330435642,-0.26079952763588
138.25,-3.99,7.54523080198083,-0.308006215382451,7.95290570700646,-0.247987589194114
138.75,-3.57,7.5432624850024,-0.307809208304319,7.95137146887849,-0.236709930202294
139.25,-3.78,7.54130095150965,-0.307857692377555,7.94994312399001,-0.226137115941428
139.75,-3.36,7.53931410949897,-0.309807097725729,7.94859778667356,-0.216791904738871
140.25,-3.57,7.53728002502705,-0.309677405458255,7.9473196151491,-0.206654470257932
140.75,-3.15,7.53519957666811,-0.309564635081182,7.94610904487589,-0.195720293851472
141.25,-3.36,7.53307255481928,-0.309929356392679,7.9449628961317,-0.18599280325037
141.75,-2.94,7.53090259938823,-0.309677606386996,7.94388012340998,-0.175483404415919
142.25,-3.15,7.52869290996864,-0.309677023068504,7.94286772644097,-0.167185033421538
142.75,-2.73,7.52645073359516,-0.30929753448755,7.94193651935575,-0.157710450911498
143.25,-2.94,7.52419019342071,-0.307892605568026,7.94109949149984,-0.149088309847363
143.75,-2.52,7.52194273337101,-0.305830012837639,7.94038514157638,-0.139899806184512
144.25,-2.73,7.51974461098207,-0.303808144926547,7.93982094485416,-0.131511175314534
144.75,-2.31,7.5176098079105,-0.300995833906291,7.9394182685469,-0.122785860825998
145.25,-2.52,7.51554663706094,-0.295359764517146,7.93918207972389,-0.113114309909477
