"TIME","R1","R1`","R2","R2`","POSITION","dH"
220.25,206.040721854305,206.03882781457,268.80257615894,269.26,-0.42,0.21
220.75,206.03882781457,206.059860927152,269.26,268.496662251656,-0.21,-0.42
221.25,206.059860927152,206.055370860927,268.496662251656,268.894748344371,-0.63,0.21
221.75,206.055370860927,206.037821192053,268.894748344371,268.075099337748,-0.42,-0.42
222.25,206.037821192053,205.931529801325,268.075099337748,268.262046357616,-0.84,0.21
222.75,205.931529801325,206.018695364238,268.262046357616,267.69717218543,-0.63,-0.42
223.25,206.018695364238,205.909894039735,267.69717218543,267.81721192053,-1.05,0.21
223.75,205.909894039735,206.057920529801,267.81721192053,267.368894039735,-0.84,-0.42
224.25,206.057920529801,205.922178807947,267.368894039735,267.43,-1.26,0.21
224.75,205.922178807947,206.04178807947,267.43,266.944920529801,-1.05,-0.42
225.25,206.04178807947,205.934913907285,266.944920529801,267.068317880795,-1.47,0.21
225.75,205.934913907285,206.091026490066,267.068317880795,266.671006622517,-1.26,-0.42
226.25,206.091026490066,205.982695364238,266.671006622517,266.766668874172,-1.68,0.21
226.75,205.982695364238,206.15757615894,266.766668874172,266.436947019868,-1.47,-0.42
227.25,206.15757615894,206.01759602649,266.436947019868,266.45538410596,-1.89,0.21
227.75,206.01759602649,206.227874172185,266.45538410596,266.204503311258,-1.68,-0.42
228.25,206.227874172185,206.072145695364,266.204503311258,266.141649006623,-2.1,0.21
228.75,206.072145695364,206.317874172185,266.141649006623,266.020953642384,-1.89,-0.42
229.25,206.317874172185,206.172271523179,266.020953642384,265.948013245033,-2.31,0.21
229.75,206.172271523179,206.408046357616,265.948013245033,265.838715231788,-2.1,-0.42
230.25,206.408046357616,206.269721854305,265.838715231788,265.784860927152,-2.52,0.21
230.75,206.269721854305,206.515092715232,265.784860927152,265.728245033113,-2.31,-0.42
231.25,206.515092715232,206.377072847682,265.728245033113,265.658781456954,-2.73,0.21
231.75,206.377072847682,206.656271523179,265.658781456954,265.698039735099,-2.52,-0.42
232.25,206.656271523179,206.528185430464,265.698039735099,265.643357615894,-2.94,0.21
232.75,206.528185430464,206.78857615894,265.643357615894,265.660152317881,-2.73,-0.42
233.25,206.78857615894,206.635715231788,265.660152317881,265.551145695364,-3.15,0.21
233.75,206.635715231788,206.942794701987,265.551145695364,265.708708609272,-2.94,-0.42
234.25,206.942794701987,206.803509933775,265.708708609272,265.624735099338,-3.36,0.21
234.75,206.803509933775,207.087258278146,265.624735099338,265.756231788079,-3.15,-0.42
235.25,207.087258278146,206.930841059603,265.756231788079,265.63319205298,-3.57,0.21
235.75,206.930841059603,207.243602649007,265.63319205298,265.837523178808,-3.36,-0.42
236.25,207.243602649007,207.09119205298,265.837523178808,265.701549668874,-3.78,0.21
236.75,207.09119205298,207.403748344371,265.701549668874,265.969072847682,-3.57,-0.42
237.25,207.403748344371,207.259880794702,265.969072847682,265.823953642384,-3.99,0.21
237.75,207.259880794702,207.558152317881,265.823953642384,266.053754966887,-3.78,-0.42
238.25,207.558152317881,207.418357615894,266.053754966887,265.918145695364,-4.2,0.21
238.75,207.418357615894,207.727986754967,265.918145695364,266.183344370861,-3.99,-0.42
239.25,207.727986754967,207.566774834437,266.183344370861,265.993940397351,-4.41,0.21
239.75,207.566774834437,207.888940397351,265.993940397351,266.308470198675,-4.2,-0.42
240.25,207.888940397351,207.762304635762,266.308470198675,266.179887417219,-4.62,0.21
240.75,207.762304635762,208.044523178808,266.179887417219,266.489125827815,-4.41,-0.42
241.25,208.044523178808,207.895271523179,266.489125827815,266.279218543046,-4.83,0.21
241.75,207.895271523179,208.239682119205,266.279218543046,266.729079470199,-4.62,-0.42
242.25,208.239682119205,208.128966887417,266.729079470199,266.598662251656,-5.04,0.21
242.75,208.128966887417,208.426960264901,266.598662251656,266.967377483444,-4.83,-0.42
243.25,208.426960264901,208.303139072848,266.967377483444,266.789728476821,-5.25,0.21
243.75,208.303139072848,208.657609271523,266.789728476821,267.198536423841,-5.04,-0.42
244.25,208.657609271523,208.550543046358,267.198536423841,266.99040397351,-5.46,0.21
244.75,208.550543046358,209.111715231788,266.99040397351,267.655013245033,-5.25,-0.42
245.25,209.111715231788,209.007105960265,267.655013245033,267.430874172185,-5.67,0.21
245.75,209.007105960265,209.590251655629,267.430874172185,268.057158940397,-5.46,-0.42
246.25,209.590251655629,209.468490066225,268.057158940397,267.817317880795,-5.88,0.21
246.75,209.468490066225,209.950337748344,267.817317880795,268.471105960265,-5.67,-0.42
247.25,209.950337748344,209.857841059603,268.471105960265,268.309509933775,-6.09,0.21
247.75,209.857841059603,210.260324503311,268.309509933775,268.916629139073,-5.88,-0.42
248.25,210.260324503311,210.096503311258,268.916629139073,268.668754966887,-6.3,0.21
248.75,210.096503311258,210.429701986755,268.668754966887,269.308364238411,-6.09,-0.42
249.25,210.429701986755,210.31282781457,269.308364238411,269.150013245033,-6.51,0.21
249.75,210.31282781457,210.648298013245,269.150013245033,269.828854304636,-6.3,-0.42
250.25,210.648298013245,210.503735099338,269.828854304636,269.623543046358,-6.72,0.21
250.75,210.503735099338,210.852417218543,269.623543046358,270.311953642384,-6.51,-0.42
251.25,210.852417218543,210.723966887417,270.311953642384,270.136933774834,-6.93,0.21
251.75,210.723966887417,211.058033112583,270.136933774834,271.015549668874,-6.72,-0.42
252.25,211.058033112583,210.932668874172,271.015549668874,270.804046357616,-7.14,0.21
252.75,210.932668874172,211.298662251656,270.804046357616,271.618317880795,-6.93,-0.42
253.25,211.298662251656,211.16859602649,271.618317880795,271.362973509934,-7.35,0.21
253.75,211.16859602649,211.513112582781,271.362973509934,272.158331125828,-7.14,-0.42
254.25,211.513112582781,211.413880794702,272.158331125828,271.948867549669,-7.56,0.21
254.75,211.413880794702,211.730324503311,271.948867549669,272.745066225166,-7.35,-0.42
255.25,211.730324503311,211.642880794702,272.745066225166,272.638470198676,-7.77,0.21
255.75,211.642880794702,212.012311258278,272.638470198676,273.590337748344,-7.56,-0.420000000000001
