"TIME","POSITION","R1","R2","CCR"
0,0.21,141.592,211.158,4700
0.001,0.21,141.594,211.165,4700
0.002,0.21,141.595,211.173,4700
0.003,0.21,141.597,211.18,4700
0.004,0.21,141.598,211.188,4700
0.005,0.21,141.6,211.195,4700
0.006,0.21,141.601,211.203,4700
0.007,0.21,141.603,211.21,4700
0.008,0.21,141.605,211.217,4700
0.009,0.21,141.606,211.225,4700
0.01,0.21,141.608,211.231,4700
0.011,0.21,141.61,211.237,4700
0.012,0.21,141.612,211.243,4700
0.013,0.21,141.613,211.249,4700
0.014,0.21,141.615,211.255,4700
0.015,0.21,141.617,211.261,4700
0.016,0.21,141.619,211.267,4700
0.017,0.21,141.621,211.273,4700
0.018,0.21,141.622,211.279,4700
0.019,0.21,141.624,211.285,4700
0.02,0.21,141.626,211.291,4700
0.021,0.21,141.628,211.298,4700
0.022,0.21,141.63,211.304,4700
0.023,0.21,141.632,211.31,4700
0.024,0.21,141.633,211.317,4700
0.025,0.21,141.635,211.323,4700
0.026,0.21,141.637,211.329,4700
0.027,0.21,141.639,211.335,4700
0.028,0.21,141.641,211.342,4700
0.029,0.21,141.643,211.348,4700
0.03,0.21,141.646,211.353,4700
0.031,0.21,141.65,211.359,4700
0.032,0.21,141.654,211.364,4700
0.033,0.21,141.657,211.37,4700
0.034,0.21,141.661,211.375,4700
0.035,0.21,141.665,211.381,4700
0.036,0.21,141.669,211.386,4700
0.037,0.21,141.672,211.392,4700
0.038,0.21,141.676,211.397,4700
0.039,0.21,141.68,211.403,4700
0.04,0.21,141.683,211.409,4700
0.041,0.21,141.687,211.416,4700
0.042,0.21,141.69,211.423,4700
0.043,0.21,141.694,211.43,4700
0.044,0.21,141.697,211.436,4700
0.045,0.21,141.7,211.443,4700
0.046,0.21,141.704,211.45,4700
0.047,0.21,141.707,211.457,4700
0.048,0.21,141.711,211.463,4700
0.049,0.21,141.714,211.47,4700
0.05,0.21,141.72,211.477,4700
0.051,0.21,141.726,211.485,4700
0.052,0.21,141.732,211.492,4700
0.053,0.21,141.738,211.499,4700
0.054,0.21,141.744,211.507,4700
0.055,0.21,141.75,211.514,4700
0.056,0.21,141.756,211.521,4700
0.057,0.21,141.763,211.528,4700
0.058,0.21,141.769,211.536,4700
0.059,0.21,141.775,211.543,4700
0.06,0.21,141.782,211.552,4700
0.061,0.21,141.789,211.561,4700
0.062,0.21,141.796,211.57,4700
0.063,0.21,141.803,211.579,4700
0.064,0.21,141.81,211.588,4700
0.065,0.21,141.817,211.596,4700
0.066,0.21,141.824,211.605,4700
0.067,0.21,141.831,211.614,4700
0.068,0.21,141.838,211.623,4700
0.069,0.21,141.845,211.632,4700
0.07,0.21,141.859,211.646,4700
0.071,0.21,141.873,211.661,4700
0.072,0.21,141.887,211.675,4700
0.073,0.21,141.902,211.689,4700
0.074,0.21,141.916,211.703,4700
0.075,0.21,141.93,211.718,4700
0.076,0.21,141.944,211.732,4700
0.077,0.21,141.958,211.746,4700
0.078,0.21,141.973,211.76,4700
0.079,0.21,141.987,211.775,4700
0.08,0.21,142.002,211.792,4700
0.081,0.21,142.017,211.81,4700
0.082,0.21,142.032,211.828,4700
0.083,0.21,142.047,211.845,4700
0.084,0.21,142.062,211.863,4700
0.085,0.21,142.077,211.881,4700
0.086,0.21,142.092,211.898,4700
0.087,0.21,142.107,211.916,4700
0.088,0.21,142.122,211.934,4700
0.089,0.21,142.138,211.951,4700
0.09,0.21,142.153,211.97,4700
0.091,0.21,142.169,211.989,4700
0.092,0.21,142.185,212.007,4700
0.093,0.21,142.201,212.026,4700
0.094,0.21,142.217,212.045,4700
0.095,0.21,142.233,212.064,4700
0.096,0.21,142.249,212.082,4700
0.097,0.21,142.265,212.101,4700
0.098,0.21,142.28,212.12,4700
0.099,0.21,142.296,212.139,4700
0.1,0.21,142.311,212.159,4700
0.101,0.21,142.326,212.179,4700
0.102,0.21,142.341,212.2,4700
0.103,0.21,142.355,212.22,4700
0.104,0.21,142.37,212.24,4700
0.105,0.21,142.385,212.261,4700
0.106,0.21,142.4,212.281,4700
0.107,0.21,142.414,212.302,4700
0.108,0.21,142.429,212.322,4700
0.109,0.21,142.444,212.342,4700
0.11,0.21,142.453,212.358,4700
0.111,0.21,142.461,212.374,4700
0.112,0.21,142.47,212.39,4700
0.113,0.21,142.479,212.406,4700
0.114,0.21,142.488,212.422,4700
0.115,0.21,142.496,212.438,4700
0.116,0.21,142.505,212.454,4700
0.117,0.21,142.514,212.47,4700
0.118,0.21,142.523,212.486,4700
0.119,0.21,142.531,212.502,4700
0.12,0.21,142.535,212.516,4700
0.121,0.21,142.539,212.53,4700
0.122,0.21,142.543,212.544,4700
0.123,0.21,142.547,212.557,4700
0.124,0.21,142.551,212.571,4700
0.125,0.21,142.555,212.585,4700
0.126,0.21,142.559,212.599,4700
0.127,0.21,142.563,212.613,4700
0.128,0.21,142.567,212.627,4700
0.129,0.21,142.571,212.641,4700
0.13,0.21,142.571,212.65,4700
0.131,0.21,142.571,212.66,4700
0.132,0.21,142.571,212.669,4700
0.133,0.21,142.571,212.679,4700
0.134,0.21,142.571,212.688,4700
0.135,0.21,142.571,212.698,4700
0.136,0.21,142.571,212.707,4700
0.137,0.21,142.571,212.717,4700
0.138,0.21,142.571,212.727,4700
0.139,0.21,142.571,212.736,4700
0.14,0.21,142.571,212.746,4700
0.141,0.21,142.57,212.755,4700
0.142,0.21,142.57,212.765,4700
0.143,0.21,142.57,212.774,4700
0.144,0.21,142.569,212.784,4700
0.145,0.21,142.569,212.794,4700
0.146,0.21,142.569,212.803,4700
0.147,0.21,142.569,212.813,4700
