TIME,R1,MYO1,R2,MYO2,APPARENT_07_21_RHO,APPARENT_35_21_RHO,CCR
0.0,164.721,0.054,309.082,0.137,7.245,9.063,4700.0
0.001,164.72,-10.205,309.079,-9.309,7.245,9.063,4700.0
0.002,164.718,-0.076,309.076,-0.194,7.245,9.063,4700.0
0.003,164.717,-16.189,309.073,-14.72,7.245,9.062,4700.0
0.004,164.715,-0.236,309.07,-0.225,7.245,9.062,4700.0
0.005,164.714,42.112,309.067,38.178,7.245,9.062,4700.0
0.006,164.712,0.279,309.064,0.35,7.244,9.062,4700.0
0.007,164.711,-15.337,309.061,-13.835,7.244,9.062,4700.0
0.008,164.71,0.036,309.058,-0.084,7.244,9.062,4700.0
0.009,164.708,-9.345,309.055,-8.55,7.244,9.062,4700.0
0.01,164.708,-0.033,309.055,-0.012,7.244,9.062,4700.0
0.011,164.708,-2.194,309.054,-1.951,7.244,9.062,4700.0
0.012,164.708,-0.048,309.054,0.086,7.244,9.062,4700.0
0.013,164.708,3.372,309.053,3.072,7.244,9.062,4700.0
0.014,164.708,-0.063,309.052,-0.195,7.244,9.062,4700.0
0.015,164.708,5.398,309.052,4.82,7.244,9.062,4700.0
0.016,164.708,0.04,309.051,-0.012,7.244,9.062,4700.0
0.017,164.708,3.319,309.051,3.019,7.244,9.062,4700.0
0.018,164.708,0.105,309.05,0.198,7.244,9.062,4700.0
0.019,164.708,-1.967,309.049,-1.704,7.244,9.062,4700.0
0.02,164.706,0.037,309.044,0.104,7.244,9.062,4700.0
0.021,164.704,-8.186,309.039,-7.477,7.244,9.061,4700.0
0.022,164.702,-0.054,309.034,-0.254,7.244,9.061,4700.0
0.023,164.7,-13.021,309.029,-11.864,7.244,9.061,4700.0
0.024,164.698,-0.191,309.024,-0.087,7.244,9.061,4700.0
0.025,164.696,33.886,309.019,30.783,7.244,9.061,4700.0
0.026,164.694,0.215,309.014,0.232,7.244,9.061,4700.0
0.027,164.692,-12.342,309.009,-11.151,7.244,9.061,4700.0
0.028,164.69,0.02,309.004,-0.002,7.243,9.06,4700.0
0.029,164.688,-7.539,308.999,-6.916,7.243,9.06,4700.0
0.03,164.686,-0.014,308.997,-0.038,7.243,9.06,4700.0
0.031,164.684,-1.738,308.996,-1.584,7.243,9.06,4700.0
