TIME,POSITION
0.0,-0.105
0.001,-0.105
0.002,-0.105
0.003,-0.105
0.004,-0.105
0.005,-0.105
0.006,-0.105
0.007,-0.105
0.008,-0.105
0.009,-0.105
0.01,-0.105
0.011,-0.105
0.012,-0.105
0.013,-0.105
0.014,-0.105
0.015,-0.105
0.016,-0.105
0.017,-0.105
0.018,-0.105
0.019,-0.105
0.02,-0.105
0.021,-0.105
0.022,-0.105
0.023,-0.105
0.024,-0.105
0.025,-0.105
0.026,-0.105
0.027,-0.105
0.028,-0.105
0.029,-0.105
0.03,-0.105
0.031,-0.105
0.032,-0.105
0.033,-0.105
0.034,-0.105
0.035,-0.105
0.036,-0.105
0.037,-0.105
0.038,-0.105
0.039,-0.105
0.04,-0.105
0.041,-0.105
0.042,-0.105
0.043,-0.105
0.044,-0.105
0.045,-0.105
0.046,-0.105
0.047,-0.105
0.048,-0.105
0.049,-0.105
0.05,-0.105
0.051,-0.105
0.052,-0.105
0.053,-0.105
0.054,-0.105
0.055,-0.105
0.056,-0.105
0.057,-0.105
0.058,-0.105
0.059,-0.105
0.06,-0.105
0.061,-0.105
0.062,-0.105
0.063,-0.105
0.064,-0.105
0.065,-0.105
0.066,-0.105
0.067,-0.105
0.068,-0.105
0.069,-0.105
0.07,-0.105
0.071,-0.105
0.072,-0.105
0.073,-0.105
0.074,-0.105
0.075,-0.105
0.076,-0.105
0.077,-0.105
0.078,-0.105
0.079,-0.105
0.08,-0.105
0.081,-0.105
0.082,-0.105
0.083,-0.105
0.084,-0.105
0.085,-0.105
0.086,-0.105
0.087,-0.105
0.088,-0.105
0.089,-0.105
0.09,-0.105
0.091,-0.105
0.092,-0.105
0.093,-0.105
0.094,-0.105
0.095,-0.105
0.096,-0.105
0.097,-0.105
0.098,-0.105
0.099,-0.105
0.1,-0.105
0.101,-0.105
0.102,-0.105
0.103,-0.105
0.104,-0.105
0.105,-0.105
0.106,-0.105
0.107,-0.105
0.108,-0.105
0.109,-0.105
0.11,-0.105
0.111,-0.105
0.112,-0.105
0.113,-0.105
0.114,-0.105
0.115,-0.105
0.116,-0.105
0.117,-0.105
0.118,-0.105
0.119,-0.105
0.12,-0.105
0.121,-0.105
0.122,-0.105
0.123,-0.105
0.124,-0.105
0.125,-0.105
0.126,-0.105
0.127,-0.105
0.128,-0.105
0.129,-0.105
0.13,-0.105
0.131,-0.105
0.132,-0.105
0.133,-0.105
0.134,-0.105
0.135,-0.105
0.136,-0.105
0.137,-0.105
0.138,-0.105
0.139,-0.105
0.14,-0.105
0.141,-0.105
0.142,-0.105
0.143,-0.105
0.144,-0.105
0.145,-0.105
0.146,-0.105
0.147,-0.105
0.148,-0.105
0.149,-0.105
0.15,-0.105
0.151,-0.105
0.152,-0.105
0.153,-0.105
