TIME_s,R1_Ω,MYO1_mV,R2_Ω,MYO2_mV,APPARENT_07_21_RHO_Ω·m,APPARENT_35_21_RHO_Ω·m,CCR_Ω
0.0,138.182,0.2,191.818,0.323,6.078,5.624,4700.0
0.001,138.182,0.157,191.821,0.528,6.078,5.624,4700.0
0.002,138.182,0.137,191.823,0.44,6.078,5.625,4700.0
0.003,138.183,-0.006,191.826,0.478,6.078,5.625,4700.0
0.004,138.183,-0.174,191.828,0.044,6.078,5.625,4700.0
0.005,138.183,-0.033,191.831,-0.467,6.078,5.625,4700.0
0.006,138.184,-0.027,191.833,-0.376,6.078,5.625,4700.0
0.007,138.184,-0.086,191.835,-0.321,6.078,5.625,4700.0
0.008,138.184,0.016,191.838,-0.123,6.078,5.625,4700.0
0.009,138.185,0.013,191.84,0.016,6.078,5.625,4700.0
0.01,138.184,-0.008,191.837,-0.066,6.078,5.625,4700.0
0.011,138.183,0.049,191.834,0.209,6.078,5.625,4700.0
0.012,138.182,0.068,191.831,0.25,6.078,5.625,4700.0
0.013,138.181,0.128,191.828,0.356,6.078,5.625,4700.0
0.014,138.18,0.121,191.825,0.517,6.077,5.625,4700.0
0.015,138.179,-0.136,191.821,-0.063,6.077,5.624,4700.0
0.016,138.178,-0.201,191.818,-0.469,6.077,5.624,4700.0
0.017,138.177,-0.046,191.815,-0.443,6.077,5.624,4700.0
0.018,138.176,-0.079,191.812,-0.456,6.077,5.624,4700.0
0.019,138.175,0.021,191.809,-0.209,6.077,5.624,4700.0
0.02,138.176,0.172,191.811,0.27,6.077,5.624,4700.0
0.021,138.176,0.106,191.814,0.49,6.077,5.624,4700.0
0.022,138.176,0.094,191.817,0.355,6.077,5.624,4700.0
0.023,138.177,0.0,191.82,0.277,6.077,5.624,4700.0
0.024,138.177,-0.123,191.823,0.083,6.077,5.625,4700.0
0.025,138.177,-0.03,191.825,-0.288,6.077,5.625,4700.0
0.026,138.177,-0.023,191.828,-0.314,6.077,5.625,4700.0
0.027,138.178,-0.08,191.831,-0.229,6.077,5.625,4700.0
0.028,138.178,-0.011,191.834,-0.118,6.077,5.625,4700.0
0.029,138.178,0.002,191.837,-0.012,6.077,5.625,4700.0
0.03,138.177,0.006,191.836,-0.048,6.077,5.625,4700.0
0.031,138.176,0.068,191.835,0.15,6.077,5.625,4700.0
0.032,138.175,0.079,191.835,0.184,6.077,5.625,4700.0
0.033,138.174,0.116,191.834,0.269,6.077,5.625,4700.0
0.034,138.173,0.071,191.833,0.443,6.077,5.625,4700.0
0.035,138.172,-0.129,191.833,-0.094,6.077,5.625,4700.0
0.036,138.171,-0.149,191.832,-0.418,6.077,5.625,4700.0
0.037,138.17,-0.045,191.832,-0.316,6.077,5.625,4700.0
0.038,138.169,-0.059,191.831,-0.319,6.077,5.625,4700.0
0.039,138.168,0.016,191.83,-0.128,6.077,5.625,4700.0
0.04,138.169,0.117,191.829,0.229,6.077,5.625,4700.0
0.041,138.17,0.085,191.829,0.41,6.077,5.625,4700.0
0.042,138.17,0.087,191.828,0.294,6.077,5.625,4700.0
0.043,138.171,-0.002,191.827,0.304,6.077,5.625,4700.0
0.044,138.172,-0.098,191.826,-0.052,6.077,5.625,4700.0
0.045,138.172,-0.012,191.825,-0.461,6.077,5.625,4700.0
0.046,138.173,-0.02,191.824,-0.178,6.077,5.625,4700.0
0.047,138.174,-0.059,191.823,-0.142,6.077,5.625,4700.0
0.048,138.174,0.003,191.823,-0.084,6.077,5.625,4700.0
0.049,138.175,0.014,191.822,0.04,6.077,5.625,4700.0
0.05,138.174,0.006,191.819,-0.018,6.077,5.624,4700.0
0.051,138.173,0.018,191.816,0.171,6.077,5.624,4700.0
0.052,138.172,0.04,191.813,0.149,6.077,5.624,4700.0
0.053,138.172,0.076,191.81,0.321,6.077,5.624,4700.0
0.054,138.171,0.054,191.807,0.299,6.077,5.624,4700.0
0.055,138.17,-0.053,191.804,-0.337,6.077,5.624,4700.0
0.056,138.169,-0.095,191.801,-0.306,6.077,5.624,4700.0
0.057,138.168,-0.062,191.798,-0.101,6.077,5.624,4700.0
0.058,138.167,-0.046,191.795,-0.239,6.077,5.624,4700.0
0.059,138.166,0.022,191.792,-0.051,6.077,5.624,4700.0
0.06,138.168,0.083,191.795,0.152,6.077,5.624,4700.0
0.061,138.169,0.084,191.797,0.133,6.077,5.624,4700.0
0.062,138.17,0.062,191.8,0.184,6.077,5.624,4700.0
0.063,138.172,-0.009,191.803,0.3,6.077,5.624,4700.0
0.064,138.173,-0.077,191.805,0.071,6.077,5.624,4700.0
0.065,138.174,-0.052,191.808,-0.209,6.077,5.624,4700.0
0.066,138.176,-0.017,191.811,-0.141,6.077,5.624,4700.0
0.067,138.177,-0.017,191.813,-0.161,6.077,5.624,4700.0
0.068,138.179,0.016,191.816,-0.092,6.077,5.624,4700.0
0.069,138.18,0.002,191.819,-0.039,6.077,5.624,4700.0
0.07,138.179,0.007,191.816,-0.086,6.077,5.624,4700.0
0.071,138.178,0.048,191.813,0.084,6.077,5.624,4700.0
0.072,138.178,0.039,191.81,0.101,6.077,5.624,4700.0
0.073,138.177,0.062,191.807,0.35,6.077,5.624,4700.0
0.074,138.176,0.001,191.804,0.359,6.077,5.624,4700.0
0.075,138.175,-0.097,191.8,-0.257,6.077,5.624,4700.0
0.076,138.174,-0.063,191.797,-0.276,6.077,5.624,4700.0
0.077,138.174,-0.014,191.794,-0.164,6.077,5.624,4700.0
0.078,138.173,-0.029,191.791,-0.224,6.077,5.624,4700.0
0.079,138.172,0.009,191.788,-0.003,6.077,5.624,4700.0
0.08,138.172,0.096,191.787,0.118,6.077,5.623,4700.0
0.081,138.172,0.063,191.786,0.191,6.077,5.623,4700.0
0.082,138.172,0.044,191.785,0.181,6.077,5.623,4700.0
0.083,138.172,-0.009,191.784,0.143,6.077,5.623,4700.0
0.084,138.173,-0.11,191.783,0.049,6.077,5.623,4700.0
