| TIME    | POSITION | R1_START | R2_START | R1_DIFF | R2_DIFF | DH_MM | RHO   | RHO_1 | RHO_2 | H_MM  |
| 104.439 | 0        | 127.174  | 194.043  | 0.0085  | 0.0236  | 0.09  | 4.851 | 4.850 | 4.803 | 4.030 |
| 106.489 | 0        | 127.116  | 194.009  | 0.0085  | 0.0236  | 0.09  | 4.850 | 4.843 | 4.799 | 4.425 |
| 108.319 | 0.18     | 127.098  | 194.053  | 0.006   | 0.0359  | 0.09  | 4.850 | 4.844 | 4.798 | 4.424 |
| 110.369 | 0.18     | 127.069  | 194.064  | 0.006   | 0.0359  | 0.09  | 4.850 | 4.843 | 4.798 | 4.424 |
| 112.149 | 0.36     | 127.085  | 194.218  | 0.011   | 0.0274  | 0.09  | 4.853 | 4.849 | 4.797 | 4.282 |
| 114.199 | 0.36     | 127.102  | 194.264  | 0.011   | 0.0274  | 0.09  | 4.854 | 4.850 | 4.798 | 4.282 |
| 116.049 | 0.54     | 127.119  | 194.434  | 0.0165  | 0.0656  | 0.09  | 4.857 | 4.889 | 4.765 | 3.836 |
| 118.099 | 0.54     | 127.105  | 194.491  | 0.0165  | 0.0656  | 0.09  | 4.858 | 4.872 | 4.783 | 3.948 |
| 119.919 | 0.72     | 127.137  | 194.646  | 0.0258  | 0.0886  | 0.09  | 4.861 | 4.893 | 4.767 | 3.829 |
| 121.969 | 0.72     | 127.209  | 194.832  | 0.0258  | 0.0886  | 0.09  | 4.865 | 4.897 | 4.771 | 3.830 |
| 123.809 | 0.9      | 127.238  | 195.041  | 0.0272  | 0.104   | 0.09  | 4.869 | 4.906 | 4.767 | 3.809 |
| 125.859 | 0.9      | 127.255  | 195.187  | 0.0272  | 0.104   | 0.09  | 4.871 | 4.908 | 4.769 | 3.809 |
| 127.679 | 1.08     | 127.312  | 195.408  | 0.0408  | 0.1303  | 0.09  | 4.876 | 4.935 | 4.746 | 3.781 |
| 129.729 | 1.08     | 127.366  | 195.617  | 0.0408  | 0.1303  | 0.09  | 4.880 | 4.939 | 4.749 | 3.781 |
| 131.579 | 1.26     | 127.428  | 195.878  | 0.0459  | 0.1553  | 0.09  | 4.885 | 4.956 | 4.737 | 3.789 |
| 133.629 | 1.26     | 127.507  | 196.12   | 0.0459  | 0.1553  | 0.09  | 4.890 | 4.961 | 4.741 | 3.789 |
| 135.489 | 1.44     | 127.61   | 196.378  | 0.0575  | 0.1626  | 0.09  | 4.896 | 4.980 | 4.728 | 3.803 |
| 137.539 | 1.44     | 127.817  | 196.69   | 0.0575  | 0.1626  | 0.09  | 4.904 | 4.988 | 4.736 | 3.803 |
| 139.389 | 1.62     | 128.019  | 197.048  | 0.0728  | 0.1877  | 0.09  | 4.912 | 5.020 | 4.711 | 3.843 |
| 141.439 | 1.62     | 128.144  | 197.335  | 0.0728  | 0.1877  | 0.09  | 4.919 | 5.026 | 4.717 | 3.843 |
| 143.284 | 1.8      | 128.296  | 197.812  | 0.0824  | 0.2236  | 0.09  | 4.928 | 5.056 | 4.692 | 3.896 |
| 145.334 | 1.8      | 128.418  | 198.304  | 0.0824  | 0.2236  | 0.09  | 4.938 | 5.064 | 4.700 | 3.895 |
| 147.189 | 1.98     | 128.665  | 199.093  | 0.0915  | 0.2479  | 0.09  | 4.955 | 5.095 | 4.687 | 3.939 |
| 149.239 | 1.98     | 128.844  | 199.669  | 0.0915  | 0.2479  | 0.09  | 4.966 | 5.105 | 4.697 | 3.938 |
| 151.049 | 2.16     | 129.074  | 200.386  | 0.1132  | 0.2838  | 0.09  | 4.981 | 5.150 | 4.654 | 4.024 |
| 153.099 | 2.16     | 129.257  | 200.928  | 0.1132  | 0.2838  | 0.09  | 4.993 | 5.160 | 4.664 | 4.023 |
| 154.744 | 2.16     | 129.116  | 200.682  | 0.0985  | 0.2742  | 0.09  | 4.987 | 5.137 | 4.686 | 3.982 |
| 156.794 | 2.16     | 129.158  | 201.097  | 0.0985  | 0.2742  | 0.09  | 4.994 | 5.142 | 4.692 | 3.981 |
