| TIME    | POSITION | R1_START | R2_START | R1_DIFF | R2_DIFF | DH_MM |
| 57.934  | 1.98     | 129.008  | 199.456  | 0.0948  | 0.2517  | 0.09  |
| 60.496  | 1.98     | 129.028  | 199.494  | 0.0948  | 0.2517  | 0.09  |
| 61.826  | 1.8      | 128.847  | 198.872  | 0.0837  | 0.2436  | 0.09  |
| 64.388  | 1.8      | 128.831  | 198.799  | 0.0837  | 0.2436  | 0.09  |
| 65.718  | 1.62     | 128.652  | 198.051  | 0.0786  | 0.2518  | 0.09  |
| 68.28   | 1.62     | 128.637  | 197.935  | 0.0786  | 0.2518  | 0.09  |
| 69.609  | 1.44     | 128.454  | 197.183  | 0.057   | 0.1921  | 0.09  |
| 72.171  | 1.44     | 128.402  | 197.007  | 0.057   | 0.1921  | 0.09  |
| 73.502  | 1.26     | 128.244  | 196.449  | 0.058   | 0.1645  | 0.09  |
| 76.064  | 1.26     | 128.183  | 196.352  | 0.058   | 0.1645  | 0.09  |
| 77.374  | 1.08     | 127.992  | 195.91   | 0.0524  | 0.1423  | 0.09  |
| 79.936  | 1.08     | 127.946  | 195.855  | 0.0524  | 0.1423  | 0.09  |
| 81.244  | 0.9      | 127.787  | 195.391  | 0.0338  | 0.1059  | 0.09  |
| 83.806  | 0.9      | 127.735  | 195.271  | 0.0338  | 0.1059  | 0.09  |
| 85.114  | 0.72     | 127.618  | 194.958  | 0.0263  | 0.0996  | 0.09  |
| 87.676  | 0.72     | 127.566  | 194.888  | 0.0263  | 0.0996  | 0.09  |
| 88.984  | 0.54     | 127.514  | 194.688  | 0.024   | 0.0773  | 0.09  |
| 91.546  | 0.54     | 127.484  | 194.648  | 0.024   | 0.0773  | 0.09  |
| 92.854  | 0.36     | 127.405  | 194.451  | 0.0189  | 0.064   | 0.09  |
| 95.416  | 0.36     | 127.381  | 194.442  | 0.0189  | 0.064   | 0.09  |
| 96.724  | 0.18     | 127.293  | 194.201  | 0.0092  | 0.0422  | 0.09  |
| 99.286  | 0.18     | 127.23   | 194.126  | 0.0092  | 0.0422  | 0.09  |
| 100.604 | 0        | 127.197  | 194.011  | 0.0126  | 0.0296  | 0.09  |
| 103.166 | 0        | 127.161  | 193.982  | 0.0126  | 0.0296  | 0.09  |
| 104.254 | 0        | 127.153  | 194.037  | 0.0094  | 0.0304  | 0.09  |
| 106.816 | 0        | 127.1    | 193.982  | 0.0094  | 0.0304  | 0.09  |
| 108.124 | 0.18     | 127.097  | 194.073  | 0.006   | 0.0357  | 0.09  |
| 110.686 | 0.18     | 127.074  | 194.06   | 0.006   | 0.0357  | 0.09  |
| 111.993 | 0.36     | 127.084  | 194.227  | 0.01    | 0.0494  | 0.09  |
| 114.555 | 0.36     | 127.106  | 194.286  | 0.01    | 0.0494  | 0.09  |
| 115.844 | 0.54     | 127.137  | 194.481  | 0.0165  | 0.0656  | 0.09  |
| 118.406 | 0.54     | 127.132  | 194.507  | 0.0165  | 0.0656  | 0.09  |
| 119.714 | 0.72     | 127.162  | 194.725  | 0.0258  | 0.0886  | 0.09  |
| 122.276 | 0.72     | 127.191  | 194.795  | 0.0258  | 0.0886  | 0.09  |
| 123.604 | 0.9      | 127.24   | 195.092  | 0.0272  | 0.104   | 0.09  |
| 126.166 | 0.9      | 127.275  | 195.175  | 0.0272  | 0.104   | 0.09  |
| 127.474 | 1.08     | 127.332  | 195.47   | 0.0408  | 0.1303  | 0.09  |
| 130.036 | 1.08     | 127.329  | 195.546  | 0.0408  | 0.1303  | 0.09  |
| 131.374 | 1.26     | 127.453  | 195.966  | 0.0459  | 0.1553  | 0.09  |
| 133.936 | 1.26     | 127.473  | 196.033  | 0.0459  | 0.1553  | 0.09  |
| 135.284 | 1.44     | 127.66   | 196.483  | 0.0575  | 0.1626  | 0.09  |
| 137.846 | 1.44     | 127.794  | 196.608  | 0.0575  | 0.1626  | 0.09  |
| 139.184 | 1.62     | 128.066  | 197.151  | 0.0728  | 0.1877  | 0.09  |
| 141.746 | 1.62     | 128.117  | 197.255  | 0.0728  | 0.1877  | 0.09  |
| 143.079 | 1.8      | 128.349  | 197.924  | 0.0824  | 0.2236  | 0.09  |
| 145.641 | 1.8      | 128.412  | 198.249  | 0.0824  | 0.2236  | 0.09  |
| 146.984 | 1.98     | 128.685  | 199.166  | 0.0915  | 0.2479  | 0.09  |
| 149.546 | 1.98     | 128.794  | 199.564  | 0.0915  | 0.2479  | 0.09  |
| 150.844 | 2.16     | 129.146  | 200.526  | 0.1132  | 0.2838  | 0.09  |
| 153.406 | 2.16     | 129.219  | 200.812  | 0.1132  | 0.2838  | 0.09  |
| 154.539 | 2.16     | 129.195  | 200.848  | 0.0985  | 0.2742  | 0.09  |
| 157.101 | 2.16     | 129.112  | 200.983  | 0.0985  | 0.2742  | 0.09  |
