| TIME    | POSITION | R1_START | R2_START | R1_DIFF | R2_DIFF | DH_MM  | RHO   | RHO_1 | RHO_2 | H_MM  |
| 104.439 | 0        | 127.174  | 194.043  | 0.0085  | 0.0236  | 0.0105 | 4.851 | 4.973 | 4.654 | 3.858 |
| 106.489 | 0        | 127.116  | 194.009  | 0.0085  | 0.0236  | 0.0105 | 4.850 | 4.971 | 4.654 | 3.856 |
| 108.319 | 0.18     | 127.098  | 194.053  | 0.006   | 0.0359  | 0.0113 | 4.850 | 4.964 | 4.654 | 3.874 |
| 110.369 | 0.18     | 127.069  | 194.064  | 0.006   | 0.0359  | 0.0113 | 4.850 | 4.963 | 4.654 | 3.873 |
| 112.149 | 0.36     | 127.085  | 194.218  | 0.011   | 0.0274  | 0.0128 | 4.853 | 4.974 | 4.654 | 3.856 |
| 114.199 | 0.36     | 127.102  | 194.264  | 0.011   | 0.0274  | 0.0127 | 4.854 | 4.976 | 4.654 | 3.857 |
| 116.049 | 0.54     | 127.119  | 194.434  | 0.0165  | 0.0656  | 0.0243 | 4.857 | 4.976 | 4.654 | 3.873 |
| 118.099 | 0.54     | 127.105  | 194.491  | 0.0165  | 0.0656  | 0.0243 | 4.858 | 4.977 | 4.654 | 3.874 |
| 119.919 | 0.72     | 127.137  | 194.646  | 0.0258  | 0.0886  | 0.0348 | 4.861 | 4.981 | 4.654 | 3.873 |
| 121.969 | 0.72     | 127.209  | 194.832  | 0.0258  | 0.0886  | 0.0342 | 4.865 | 4.987 | 4.654 | 3.879 |
| 123.809 | 0.9      | 127.238  | 195.041  | 0.0272  | 0.104   | 0.0377 | 4.869 | 4.991 | 4.654 | 3.887 |
| 125.859 | 0.9      | 127.255  | 195.187  | 0.0272  | 0.104   | 0.0374 | 4.871 | 4.995 | 4.654 | 3.890 |
| 127.679 | 1.08     | 127.312  | 195.408  | 0.0408  | 0.1303  | 0.0503 | 4.876 | 5.002 | 4.654 | 3.890 |
| 129.729 | 1.08     | 127.366  | 195.617  | 0.0408  | 0.1303  | 0.0495 | 4.880 | 5.008 | 4.654 | 3.896 |
| 131.579 | 1.26     | 127.428  | 195.878  | 0.0459  | 0.1553  | 0.0565 | 4.885 | 5.014 | 4.654 | 3.904 |
| 133.629 | 1.26     | 127.507  | 196.12   | 0.0459  | 0.1553  | 0.0555 | 4.890 | 5.021 | 4.654 | 3.911 |
| 135.489 | 1.44     | 127.61   | 196.378  | 0.0575  | 0.1626  | 0.0619 | 4.896 | 5.031 | 4.654 | 3.914 |
| 137.539 | 1.44     | 127.817  | 196.69   | 0.0575  | 0.1626  | 0.0602 | 4.904 | 5.043 | 4.654 | 3.925 |
| 139.389 | 1.62     | 128.019  | 197.048  | 0.0728  | 0.1877  | 0.0703 | 4.912 | 5.058 | 4.654 | 3.935 |
| 141.439 | 1.62     | 128.144  | 197.335  | 0.0728  | 0.1877  | 0.0689 | 4.919 | 5.067 | 4.654 | 3.944 |
| 143.284 | 1.8      | 128.296  | 197.812  | 0.0824  | 0.2236  | 0.0780 | 4.928 | 5.080 | 4.654 | 3.960 |
| 145.334 | 1.8      | 128.418  | 198.304  | 0.0824  | 0.2236  | 0.0762 | 4.938 | 5.092 | 4.654 | 3.971 |
| 147.189 | 1.98     | 128.665  | 199.093  | 0.0915  | 0.2479  | 0.0809 | 4.955 | 5.114 | 4.654 | 3.994 |
| 149.239 | 1.98     | 128.844  | 199.669  | 0.0915  | 0.2479  | 0.0785 | 4.966 | 5.130 | 4.654 | 4.009 |
| 151.049 | 2.16     | 129.074  | 200.386  | 0.1132  | 0.2838  | 0.09   | 4.981 | 5.150 | 4.654 | 4.024 |
| 153.099 | 2.16     | 129.257  | 200.928  | 0.1132  | 0.2838  | 0.0877 | 4.993 | 5.165 | 4.654 | 4.039 |
| 154.744 | 2.16     | 129.116  | 200.682  | 0.0985  | 0.2742  | 0.0820 | 4.987 | 5.155 | 4.654 | 4.036 |
| 156.794 | 2.16     | 129.158  | 201.097  | 0.0985  | 0.2742  | 0.0809 | 4.994 | 5.163 | 4.654 | 4.044 |
