| TIME    | POSITION | R1_START | R2_START | R1_DIFF | R2_DIFF | DH_MM |
| 104.449 | 0        | 127.169  | 194.041  | 0.0088  | 0.0185  | NaN   |
| 106.499 | 0        | 127.116  | 194.007  | 0.0088  | 0.0185  | NaN   |
| 108.329 | 0.18     | 127.093  | 194.059  | 0.0062  | 0.0328  | NaN   |
| 110.379 | 0.18     | 127.072  | 194.071  | 0.0062  | 0.0328  | NaN   |
| 112.159 | 0.36     | 127.094  | 194.222  | 0.0087  | 0.0191  | NaN   |
| 114.209 | 0.36     | 127.104  | 194.258  | 0.0087  | 0.0191  | NaN   |
| 116.059 | 0.54     | 127.115  | 194.425  | 0.0152  | 0.058   | NaN   |
| 118.109 | 0.54     | 127.098  | 194.473  | 0.0152  | 0.058   | NaN   |
| 119.929 | 0.72     | 127.139  | 194.648  | 0.0213  | 0.0772  | NaN   |
| 121.979 | 0.72     | 127.205  | 194.825  | 0.0213  | 0.0772  | NaN   |
| 123.819 | 0.9      | 127.246  | 195.049  | 0.0244  | 0.0939  | NaN   |
| 125.869 | 0.9      | 127.261  | 195.193  | 0.0244  | 0.0939  | NaN   |
| 127.689 | 1.08     | 127.315  | 195.421  | 0.0377  | 0.1175  | NaN   |
| 129.739 | 1.08     | 127.366  | 195.607  | 0.0377  | 0.1175  | NaN   |
| 131.589 | 1.26     | 127.425  | 195.881  | 0.0427  | 0.141   | NaN   |
| 133.639 | 1.26     | 127.498  | 196.106  | 0.0427  | 0.141   | NaN   |
| 135.499 | 1.44     | 127.618  | 196.392  | 0.0529  | 0.1435  | NaN   |
| 137.549 | 1.44     | 127.813  | 196.681  | 0.0529  | 0.1435  | NaN   |
| 139.399 | 1.62     | 128.031  | 197.058  | 0.0656  | 0.1707  | NaN   |
| 141.449 | 1.62     | 128.136  | 197.321  | 0.0656  | 0.1707  | NaN   |
| 143.294 | 1.8      | 128.302  | 197.826  | 0.0765  | 0.2058  | NaN   |
| 145.344 | 1.8      | 128.418  | 198.298  | 0.0765  | 0.2058  | NaN   |
| 147.199 | 1.98     | 128.674  | 199.11   | 0.0781  | 0.2187  | NaN   |
| 149.249 | 1.98     | 128.834  | 199.658  | 0.0781  | 0.2187  | NaN   |
| 151.059 | 2.16     | 129.084  | 200.401  | 0.0995  | 0.2546  | 0.09  |
| 153.109 | 2.16     | 129.26   | 200.921  | 0.0995  | 0.2546  | NaN   |
| 154.754 | 2.16     | 129.117  | 200.684  | 0.0895  | 0.244   | NaN   |
| 156.804 | 2.16     | 129.157  | 201.087  | 0.0895  | 0.244   | NaN   |
