| TIME    | POSITION | R1_START | R2_START | R1_DIFF | R2_DIFF |
| 73.959  | 2.43     | 129.236  | 219.159  | 0.37    | 0.5655  |
| 74.559  | 2.43     | 129.344  | 219.407  | 0.37    | 0.5655  |
| 75.169  | 2.52     | 129.764  | 220.337  | 0.3002  | 0.5125  |
| 75.769  | 2.52     | 130.053  | 220.888  | 0.3002  | 0.5125  |
| 76.378  | 2.61     | 130.589  | 221.991  | 0.357   | 0.6037  |
| 76.978  | 2.61     | 130.917  | 222.828  | 0.357   | 0.6037  |
| 77.594  | 2.7      | 131.508  | 224.25   | 0.336   | 0.568   |
| 78.194  | 2.7      | 131.819  | 224.996  | 0.336   | 0.568   |
| 78.809  | 2.79     | 132.576  | 226.894  | 0.4613  | 0.93    |
| 79.409  | 2.79     | 133.342  | 229.348  | 0.4613  | 0.93    |
| 80.019  | 2.88     | 134.94   | 233.826  | 0.5708  | 1.203   |
| 80.619  | 2.88     | 136.55   | 237.559  | 0.5708  | 1.203   |
| 81.228  | 2.97     | 138.761  | 243.459  | 0.6473  | 1.9808  |
| 81.828  | 2.97     | 139.818  | 248.399  | 0.6473  | 1.9808  |
| 82.438  | 3.06     | 141.672  | 255.907  | 0.9415  | 3.569   |
| 83.038  | 3.06     | 143.02   | 262.81   | 0.9415  | 3.569   |
| 83.648  | 2.97     | 141.95   | 258.947  | 1.0255  | 4.1425  |
| 84.248  | 2.97     | 142.055  | 260.236  | 1.0255  | 4.1425  |
| 84.863  | 2.88     | 140.948  | 255.419  | 0.9295  | 3.831   |
| 85.463  | 2.88     | 141.149  | 256.421  | 0.9295  | 3.831   |
| 86.078  | 2.79     | 139.96   | 251.394  | 0.905   | 3.473   |
| 86.678  | 2.79     | 140.029  | 251.908  | 0.905   | 3.473   |
| 87.293  | 2.7      | 138.756  | 246.791  | 0.724   | 2.5482  |
| 87.893  | 2.7      | 138.713  | 246.569  | 0.724   | 2.5482  |
| 88.508  | 2.61     | 137.648  | 242.278  | 0.633   | 2.0505  |
| 89.108  | 2.61     | 137.599  | 241.806  | 0.633   | 2.0505  |
| 89.718  | 2.52     | 136.79   | 238.212  | 0.4817  | 1.529   |
| 90.318  | 2.52     | 136.745  | 237.953  | 0.4817  | 1.529   |
| 90.928  | 2.43     | 135.759  | 234.419  | 0.4633  | 1.2585  |
| 91.528  | 2.43     | 135.67   | 233.907  | 0.4633  | 1.2585  |
| 92.148  | 2.34     | 134.977  | 231.154  | 0.3835  | 1.0158  |
| 92.748  | 2.34     | 134.881  | 230.604  | 0.3835  | 1.0158  |
| 93.368  | 2.34     | 134.219  | 228.277  | 0.376   | 0.897   |
| 93.968  | 2.34     | 134.121  | 227.835  | 0.376   | 0.897   |
| 94.578  | 2.25     | 133.627  | 225.95   | 0.2965  | 0.6898  |
| 95.178  | 2.25     | 133.449  | 225.131  | 0.2965  | 0.6898  |
| 95.788  | 2.16     | 132.999  | 223.248  | 0.332   | 0.6892  |
| 96.388  | 2.16     | 133.036  | 222.686  | 0.332   | 0.6892  |
| 96.998  | 2.07     | 132.557  | 222.524  | 0.2965  | 0.4997  |
| 97.598  | 2.07     | 132.416  | 222.002  | 0.2965  | 0.4997  |
| 98.208  | 1.98     | 131.974  | 220.789  | 0.2983  | 0.478   |
| 98.808  | 1.98     | 131.985  | 220.367  | 0.2983  | 0.478   |
| 99.418  | 1.89     | 131.65   | 219.332  | 0.236   | 0.394   |
| 100.018 | 1.89     | 131.653  | 218.989  | 0.236   | 0.394   |
| 100.628 | 1.8      | 130.016  | 217.894  | 0.268   | 0.4045  |
| 101.228 | 1.8      | 129.67   | 217.356  | 0.268   | 0.4045  |
| 101.843 | 1.71     | 128.974  | 216.6    | 0.2325  | 0.3348  |
| 102.443 | 1.71     | 128.785  | 216.058  | 0.2325  | 0.3348  |
| 103.058 | 1.62     | 128.283  | 215.344  | 0.2565  | 0.371   |
| 103.658 | 1.62     | 128.163  | 215.068  | 0.2565  | 0.371   |
| 104.273 | 1.53     | 127.768  | 214.438  | 0.179   | 0.2707  |
| 104.873 | 1.53     | 127.666  | 214.178  | 0.179   | 0.2707  |
| 105.488 | 1.44     | 127.37   | 213.834  | 0.153   | 0.1047  |
| 106.088 | 1.44     | 127.132  | 213.452  | 0.153   | 0.1047  |
