"TIME","POSITION","R1","R2","CCR"
0,-0.105,118.348,164.377,3758
0.001,-0.105,118.35,164.379,3758
0.002,-0.105,118.351,164.381,3758
0.003,-0.105,118.352,164.383,3758
0.004,-0.105,118.353,164.385,3758
0.005,-0.105,118.354,164.387,3758
0.006,-0.105,118.355,164.389,3758
0.007,-0.105,118.356,164.392,3758
0.008,-0.105,118.357,164.394,3758
0.009,-0.105,118.358,164.396,3758
0.01,-0.105,118.359,164.398,3758
0.011,-0.105,118.361,164.4,3758
0.012,-0.105,118.362,164.402,3758
0.013,-0.105,118.363,164.404,3758
0.014,-0.105,118.364,164.406,3758
0.015,-0.105,118.365,164.408,3758
0.016,-0.105,118.366,164.411,3758
0.017,-0.105,118.367,164.413,3758
0.018,-0.105,118.368,164.415,3758
0.019,-0.105,118.37,164.417,3758
0.02,-0.105,118.37,164.418,3758
0.021,-0.105,118.371,164.419,3758
0.022,-0.105,118.371,164.42,3758
0.023,-0.105,118.372,164.421,3758
0.024,-0.105,118.373,164.421,3758
0.025,-0.105,118.373,164.422,3758
0.026,-0.105,118.374,164.423,3758
0.027,-0.105,118.374,164.424,3758
0.028,-0.105,118.375,164.425,3758
0.029,-0.105,118.376,164.426,3758
0.03,-0.105,118.376,164.427,3758
0.031,-0.105,118.377,164.429,3758
0.032,-0.105,118.378,164.43,3758
0.033,-0.105,118.378,164.431,3758
0.034,-0.105,118.379,164.433,3758
0.035,-0.105,118.38,164.434,3758
0.036,-0.105,118.38,164.435,3758
0.037,-0.105,118.381,164.437,3758
0.038,-0.105,118.381,164.438,3758
0.039,-0.105,118.382,164.44,3758
0.04,-0.105,118.382,164.439,3758
0.041,-0.105,118.383,164.439,3758
0.042,-0.105,118.383,164.439,3758
0.043,-0.105,118.383,164.439,3758
0.044,-0.105,118.384,164.439,3758
0.045,-0.105,118.384,164.439,3758
0.046,-0.105,118.384,164.439,3758
0.047,-0.105,118.385,164.439,3758
0.048,-0.105,118.385,164.439,3758
0.049,-0.105,118.385,164.439,3758
0.05,-0.105,118.385,164.439,3758
0.051,-0.105,118.384,164.439,3758
0.052,-0.105,118.384,164.438,3758
0.053,-0.105,118.384,164.438,3758
0.054,-0.105,118.384,164.437,3758
0.055,-0.105,118.383,164.437,3758
0.056,-0.105,118.383,164.437,3758
0.057,-0.105,118.383,164.436,3758
0.058,-0.105,118.382,164.436,3758
0.059,-0.105,118.382,164.436,3758
0.06,-0.105,118.381,164.434,3758
0.061,-0.105,118.38,164.433,3758
0.062,-0.105,118.379,164.432,3758
0.063,-0.105,118.379,164.431,3758
0.064,-0.105,118.378,164.43,3758
0.065,-0.105,118.377,164.429,3758
0.066,-0.105,118.376,164.428,3758
0.067,-0.105,118.375,164.426,3758
0.068,-0.105,118.374,164.425,3758
0.069,-0.105,118.374,164.424,3758
0.07,-0.105,118.373,164.423,3758
0.071,-0.105,118.372,164.422,3758
0.072,-0.105,118.371,164.421,3758
0.073,-0.105,118.37,164.42,3758
0.074,-0.105,118.369,164.418,3758
0.075,-0.105,118.368,164.417,3758
0.076,-0.105,118.368,164.416,3758
0.077,-0.105,118.367,164.415,3758
0.078,-0.105,118.366,164.414,3758
0.079,-0.105,118.365,164.413,3758
0.08,-0.105,118.363,164.409,3758
0.081,-0.105,118.361,164.405,3758
0.082,-0.105,118.359,164.402,3758
0.083,-0.105,118.357,164.398,3758
0.084,-0.105,118.356,164.395,3758
0.085,-0.105,118.354,164.391,3758
0.086,-0.105,118.352,164.387,3758
0.087,-0.105,118.35,164.384,3758
0.088,-0.105,118.348,164.38,3758
0.089,-0.105,118.346,164.377,3759
0.09,-0.105,118.344,164.372,3758
0.091,-0.105,118.341,164.368,3758
0.092,-0.105,118.339,164.363,3758
0.093,-0.105,118.337,164.359,3758
0.094,-0.105,118.334,164.354,3758
0.095,-0.105,118.332,164.35,3758
0.096,-0.105,118.33,164.345,3758
0.097,-0.105,118.327,164.341,3758
0.098,-0.105,118.325,164.336,3758
0.099,-0.105,118.323,164.332,3758
0.1,-0.105,118.32,164.326,3758
0.101,-0.105,118.317,164.32,3758
0.102,-0.105,118.315,164.314,3758
0.103,-0.105,118.312,164.309,3758
0.104,-0.105,118.31,164.303,3758
0.105,-0.105,118.307,164.297,3758
0.106,-0.105,118.304,164.291,3758
0.107,-0.105,118.302,164.286,3758
0.108,-0.105,118.299,164.28,3758
0.109,-0.105,118.296,164.274,3758
0.11,-0.105,118.293,164.267,3758
0.111,-0.105,118.29,164.261,3758
0.112,-0.105,118.287,164.254,3758
0.113,-0.105,118.284,164.248,3758
0.114,-0.105,118.281,164.241,3758
0.115,-0.105,118.278,164.234,3758
0.116,-0.105,118.275,164.228,3758
0.117,-0.105,118.272,164.221,3758
0.118,-0.105,118.268,164.214,3758
0.119,-0.105,118.265,164.208,3758
0.12,-0.105,118.263,164.202,3758
0.121,-0.105,118.26,164.196,3758
0.122,-0.105,118.257,164.191,3758
0.123,-0.105,118.255,164.185,3758
0.124,-0.105,118.252,164.18,3758
0.125,-0.105,118.249,164.174,3758
0.126,-0.105,118.247,164.168,3757
0.127,-0.105,118.244,164.163,3757
0.128,-0.105,118.241,164.157,3757
0.129,-0.105,118.239,164.152,3757
0.13,-0.105,118.237,164.149,3757
0.131,-0.105,118.235,164.146,3757
0.132,-0.105,118.234,164.143,3757
0.133,-0.105,118.232,164.14,3757
0.134,-0.105,118.231,164.137,3757
0.135,-0.105,118.229,164.134,3757
0.136,-0.105,118.227,164.131,3757
0.137,-0.105,118.226,164.128,3757
0.138,-0.105,118.224,164.125,3757
0.139,-0.105,118.223,164.123,3757
0.14,-0.105,118.221,164.12,3757
0.141,-0.105,118.22,164.117,3757
0.142,-0.105,118.219,164.115,3757
0.143,-0.105,118.218,164.112,3757
0.144,-0.105,118.217,164.109,3757
0.145,-0.105,118.216,164.107,3757
0.146,-0.105,118.215,164.104,3756
0.147,-0.105,118.214,164.102,3756
0.148,-0.105,118.213,164.099,3756
0.149,-0.105,118.212,164.096,3756
0.15,-0.105,118.211,164.095,3756
0.151,-0.105,118.21,164.094,3756
0.152,-0.105,118.21,164.093,3756
0.153,-0.105,118.209,164.091,3756
0.154,-0.105,118.208,164.09,3756
0.155,-0.105,118.207,164.089,3756
0.156,-0.105,118.206,164.088,3756
0.157,-0.105,118.206,164.087,3756
0.158,-0.105,118.205,164.085,3756
0.159,-0.105,118.204,164.084,3757
0.16,-0.105,118.204,164.085,3756
0.161,-0.105,118.205,164.086,3756
0.162,-0.105,118.205,164.087,3756
0.163,-0.105,118.206,164.087,3756
0.164,-0.105,118.206,164.088,3756
0.165,-0.105,118.207,164.089,3756
0.166,-0.105,118.207,164.09,3756
0.167,-0.105,118.208,164.091,3756
0.168,-0.105,118.208,164.091,3756
0.169,-0.105,118.209,164.092,3756
0.17,-0.105,118.209,164.093,3756
0.171,-0.105,118.209,164.093,3756
0.172,-0.105,118.209,164.094,3756
0.173,-0.105,118.209,164.095,3756
0.174,-0.105,118.209,164.095,3756
0.175,-0.105,118.209,164.096,3756
0.176,-0.105,118.209,164.096,3756
0.177,-0.105,118.209,164.097,3756
0.178,-0.105,118.21,164.098,3756
0.179,-0.105,118.21,164.098,3756
0.18,-0.105,118.21,164.098,3756
0.181,-0.105,118.21,164.097,3756
0.182,-0.105,118.21,164.097,3756
0.183,-0.105,118.21,164.096,3756
0.184,-0.105,118.21,164.096,3756
0.185,-0.105,118.211,164.095,3756
0.186,-0.105,118.211,164.095,3756
0.187,-0.105,118.211,164.094,3756
0.188,-0.105,118.211,164.094,3756
0.189,-0.105,118.211,164.093,3756
0.19,-0.105,118.211,164.093,3756
0.191,-0.105,118.211,164.092,3756
0.192,-0.105,118.211,164.092,3756
0.193,-0.105,118.21,164.091,3756
0.194,-0.105,118.21,164.091,3756
0.195,-0.105,118.21,164.09,3756
0.196,-0.105,118.21,164.09,3756
0.197,-0.105,118.21,164.089,3756
0.198,-0.105,118.209,164.089,3756
0.199,-0.105,118.209,164.088,3756
0.2,-0.105,118.209,164.087,3755
0.201,-0.105,118.209,164.087,3755
0.202,-0.105,118.209,164.086,3755
0.203,-0.105,118.209,164.085,3755
0.204,-0.105,118.209,164.084,3755
0.205,-0.105,118.209,164.084,3755
0.206,-0.105,118.209,164.083,3755
0.207,-0.105,118.209,164.082,3755
0.208,-0.105,118.209,164.081,3755
0.209,-0.105,118.21,164.081,3755
0.21,-0.105,118.209,164.079,3755
0.211,-0.105,118.209,164.077,3755
0.212,-0.105,118.209,164.075,3755
0.213,-0.105,118.209,164.074,3756
0.214,-0.105,118.208,164.072,3756
0.215,-0.105,118.208,164.07,3756
0.216,-0.105,118.208,164.068,3756
0.217,-0.105,118.208,164.066,3756
0.218,-0.105,118.207,164.065,3756
0.219,-0.105,118.207,164.063,3756
0.22,-0.105,118.207,164.06,3756
0.221,-0.105,118.208,164.058,3756
0.222,-0.105,118.208,164.056,3756
0.223,-0.105,118.208,164.053,3756
0.224,-0.105,118.208,164.051,3756
0.225,-0.105,118.209,164.048,3756
0.226,-0.105,118.209,164.046,3756
0.227,-0.105,118.209,164.043,3756
0.228,-0.105,118.209,164.041,3756
0.229,-0.105,118.21,164.039,3756
0.23,-0.105,118.209,164.035,3756
0.231,-0.105,118.209,164.031,3756
0.232,-0.105,118.209,164.028,3756
0.233,-0.105,118.209,164.024,3756
0.234,-0.105,118.209,164.021,3756
0.235,-0.105,118.208,164.017,3756
0.236,-0.105,118.208,164.014,3756
0.237,-0.105,118.208,164.01,3756
0.238,-0.105,118.208,164.007,3756
0.239,-0.105,118.208,164.003,3756
0.24,-0.105,118.207,163.998,3756
0.241,-0.105,118.206,163.993,3756
0.242,-0.105,118.206,163.988,3756
0.243,-0.105,118.205,163.983,3756
0.244,-0.105,118.205,163.978,3757
0.245,-0.105,118.204,163.973,3757
0.246,-0.105,118.204,163.968,3757
0.247,-0.105,118.203,163.963,3757
0.248,-0.105,118.203,163.958,3757
0.249,-0.105,118.202,163.954,3757
0.25,-0.105,118.202,163.948,3757
0.251,-0.105,118.201,163.942,3757
0.252,-0.105,118.201,163.936,3757
0.253,-0.105,118.2,163.93,3757
0.254,-0.105,118.2,163.924,3757
0.255,-0.105,118.199,163.918,3757
0.256,-0.105,118.199,163.912,3757
0.257,-0.105,118.198,163.906,3757
0.258,-0.105,118.198,163.901,3757
0.259,-0.105,118.197,163.895,3757
0.26,-0.105,118.197,163.89,3757
0.261,-0.105,118.196,163.884,3757
0.262,-0.105,118.196,163.879,3757
0.263,-0.105,118.195,163.874,3757
0.264,-0.105,118.195,163.869,3757
0.265,-0.105,118.194,163.864,3756
0.266,-0.105,118.194,163.858,3756
0.267,-0.105,118.193,163.853,3756
0.268,-0.105,118.193,163.848,3756
0.269,-0.105,118.193,163.843,3756
0.27,-0.105,118.192,163.838,3756
0.271,-0.105,118.191,163.833,3756
0.272,-0.105,118.19,163.828,3756
0.273,-0.105,118.189,163.824,3756
0.274,-0.105,118.188,163.819,3756
0.275,-0.105,118.187,163.814,3756
0.276,-0.105,118.186,163.809,3756
0.277,-0.105,118.185,163.804,3756
0.278,-0.105,118.184,163.8,3756
0.279,-0.105,118.183,163.795,3756
0.28,-0.105,118.182,163.791,3756
0.281,-0.105,118.181,163.787,3756
0.282,-0.105,118.181,163.783,3756
0.283,-0.105,118.18,163.78,3756
0.284,-0.105,118.179,163.776,3756
0.285,-0.105,118.179,163.772,3756
0.286,-0.105,118.178,163.768,3756
0.287,-0.105,118.178,163.764,3756
0.288,-0.105,118.177,163.761,3756
0.289,-0.105,118.176,163.757,3756
0.29,-0.105,118.176,163.754,3755
0.291,-0.105,118.176,163.752,3755
0.292,-0.105,118.176,163.749,3755
0.293,-0.105,118.176,163.747,3755
0.294,-0.105,118.176,163.744,3755
0.295,-0.105,118.175,163.741,3755
0.296,-0.105,118.175,163.739,3755
0.297,-0.105,118.175,163.736,3755
0.298,-0.105,118.175,163.734,3755
0.299,-0.105,118.175,163.731,3755
0.3,-0.105,118.175,163.731,3755
0.301,-0.105,118.174,163.73,3755
0.302,-0.105,118.174,163.73,3755
0.303,-0.105,118.174,163.73,3755
0.304,-0.105,118.174,163.73,3755
0.305,-0.105,118.174,163.729,3755
0.306,-0.105,118.174,163.729,3755
0.307,-0.105,118.174,163.729,3755
0.308,-0.105,118.174,163.729,3755
0.309,-0.105,118.174,163.729,3755
0.31,-0.105,118.173,163.727,3755
0.311,-0.105,118.173,163.726,3755
0.312,-0.105,118.172,163.725,3755
0.313,-0.105,118.172,163.724,3755
0.314,-0.105,118.171,163.722,3755
0.315,-0.105,118.171,163.721,3755
0.316,-0.105,118.171,163.72,3755
0.317,-0.105,118.17,163.719,3755
0.318,-0.105,118.17,163.718,3755
0.319,-0.105,118.169,163.716,3755
0.32,-0.105,118.169,163.716,3755
0.321,-0.105,118.168,163.717,3755
0.322,-0.105,118.168,163.717,3755
0.323,-0.105,118.168,163.717,3755
0.324,-0.105,118.167,163.717,3755
0.325,-0.105,118.167,163.717,3755
0.326,-0.105,118.166,163.717,3755
0.327,-0.105,118.166,163.717,3755
0.328,-0.105,118.165,163.717,3755
0.329,-0.105,118.165,163.717,3755
0.33,-0.105,118.165,163.717,3755
0.331,-0.105,118.165,163.717,3755
0.332,-0.105,118.164,163.717,3755
0.333,-0.105,118.164,163.717,3755
0.334,-0.105,118.164,163.717,3755
0.335,-0.105,118.164,163.717,3755
0.336,-0.105,118.164,163.717,3755
0.337,-0.105,118.163,163.717,3755
0.338,-0.105,118.163,163.717,3755
0.339,-0.105,118.163,163.718,3755
0.34,-0.105,118.163,163.718,3755
0.341,-0.105,118.163,163.718,3755
0.342,-0.105,118.162,163.719,3755
0.343,-0.105,118.162,163.719,3755
0.344,-0.105,118.162,163.719,3755
0.345,-0.105,118.162,163.72,3755
0.346,-0.105,118.161,163.72,3755
0.347,-0.105,118.161,163.72,3755
0.348,-0.105,118.161,163.721,3755
0.349,-0.105,118.161,163.721,3755
0.35,-0.105,118.16,163.722,3755
0.351,-0.105,118.16,163.722,3755
0.352,-0.105,118.16,163.722,3755
0.353,-0.105,118.16,163.723,3755
0.354,-0.105,118.16,163.723,3755
0.355,-0.105,118.16,163.724,3755
0.356,-0.105,118.16,163.724,3755
0.357,-0.105,118.16,163.724,3755
0.358,-0.105,118.16,163.725,3755
0.359,-0.105,118.16,163.725,3755
0.36,-0.105,118.16,163.726,3755
0.361,-0.105,118.16,163.726,3755
0.362,-0.105,118.16,163.726,3755
0.363,-0.105,118.161,163.727,3755
0.364,-0.105,118.161,163.727,3755
0.365,-0.105,118.161,163.727,3755
0.366,-0.105,118.161,163.728,3755
0.367,-0.105,118.162,163.728,3755
0.368,-0.105,118.162,163.728,3755
0.369,-0.105,118.162,163.729,3755
0.37,-0.105,118.162,163.727,3755
0.371,-0.105,118.162,163.725,3755
0.372,-0.105,118.162,163.724,3755
0.373,-0.105,118.163,163.722,3755
0.374,-0.105,118.163,163.721,3755
0.375,-0.105,118.163,163.719,3755
0.376,-0.105,118.163,163.718,3755
0.377,-0.105,118.163,163.716,3755
0.378,-0.105,118.163,163.715,3755
0.379,-0.105,118.163,163.713,3755
0.38,-0.105,118.163,163.713,3755
0.381,-0.105,118.163,163.713,3755
0.382,-0.105,118.164,163.713,3755
0.383,-0.105,118.164,163.713,3755
0.384,-0.105,118.164,163.713,3755
0.385,-0.105,118.164,163.713,3755
